Bin,Histogram,Cumulative
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,187,187
120,6727,6914
121,52941,59855
122,206461,266316
123,341904,608220
124,529835,1138055
125,485908,1623963
126,555985,2179948
127,511157,2691105
128,533694,3224799
129,523845,3748644
130,577294,4325938
131,640947,4966885
132,589227,5556112
133,570889,6127001
134,615016,6742017
135,642692,7384709
136,616869,8001578
137,590566,8592144
138,656003,9248147
139,729393,9977540
140,504706,10482246
141,404676,10886922
142,426125,11313047
143,410190,11723237
144,428557,12151794
145,397963,12549757
146,359049,12908806
147,425514,13334320
148,355217,13689537
149,353906,14043443
150,342881,14386324
151,325133,14711457
152,337267,15048724
153,334352,15383076
154,318211,15701287
155,318533,16019820
156,221873,16241693
157,188110,16429803
158,151044,16580847
159,134194,16715041
160,116309,16831350
161,109533,16940883
162,129454,17070337
163,108859,17179196
164,117670,17296866
165,163636,17460502
166,184206,17644708
167,138758,17783466
168,79911,17863377
169,52527,17915904
170,0,17915904
171,0,17915904
172,0,17915904
173,0,17915904
174,0,17915904
175,0,17915904
176,0,17915904
177,0,17915904
178,0,17915904
179,0,17915904
180,0,17915904
181,0,17915904
182,0,17915904
183,0,17915904
184,0,17915904
185,0,17915904
186,0,17915904
187,0,17915904
188,0,17915904
189,0,17915904
190,0,17915904
191,0,17915904
192,0,17915904
193,0,17915904
194,0,17915904
195,0,17915904
196,0,17915904
197,0,17915904
198,0,17915904
199,0,17915904
200,0,17915904
201,0,17915904
202,0,17915904
203,0,17915904
204,0,17915904
205,0,17915904
206,0,17915904
207,0,17915904
208,0,17915904
209,0,17915904
210,0,17915904
211,0,17915904
212,0,17915904
213,0,17915904
214,0,17915904
215,0,17915904
216,0,17915904
217,0,17915904
218,0,17915904
219,0,17915904
220,0,17915904
221,0,17915904
222,0,17915904
223,0,17915904
224,0,17915904
225,0,17915904
226,0,17915904
227,0,17915904
228,0,17915904
229,0,17915904
230,0,17915904
231,0,17915904
232,0,17915904
233,0,17915904
234,0,17915904
235,0,17915904
236,0,17915904
237,0,17915904
238,0,17915904
239,0,17915904
240,0,17915904
241,0,17915904
242,0,17915904
243,0,17915904
244,0,17915904
245,0,17915904
246,0,17915904
247,0,17915904
248,0,17915904
249,0,17915904
250,0,17915904
251,0,17915904
252,0,17915904
253,0,17915904
254,0,17915904
255,0,17915904
